宠物ID	奇遇ID	奇遇名称	地图	类型	目标类型	目标模板ID	名称		坐标列表	
251	30	贵贵	193	TRIGGER	TARGET.NPC	59328	白芷沅		{{23119, 106289, 1158464}}	
255	31	吉瑞	13	TRIGGER	TARGET.NPC	59796	刘理阳	1	{{52136, 53517, 1051072}}	
256	32	天天	13	TRIGGER	TARGET.NPC	59794	亭十四	1	{{65459, 65474, 1050624}}	
260	33	阳阳	243	TRIGGER	TARGET.NPC	62005	边澈	1	{{82521, 14656, 1082560}}	
260	33	阳阳	243	LOOT	TARGET.DOODAD	7274	寒泉岩	1	{{63077, 37160, 1048128}}	
261	34	沉溪	330	TRIGGER	TARGET.NPC	62806	火头僧	1	{{90795, 8123, 1205824}}	
261	34	沉溪	330	LOOT	TARGET.DOODAD	7459	野菜	1	{{103679, 29146, 1215883},{102500, 23062, 1212576}}	
262	35	沅沅	332	TRIGGER	TARGET.NPC	62788	焦福贵	1	{{36735, 84279, 1049152}}	
283	36	嗷呜	216	TRIGGER	TARGET.NPC	65917	神秘商人	1	{{46004, 59444, 1079232}}	
284	37	愣头青	411	TRIGGER	TARGET.NPC	65578	绿头鸭	1	{{74246,58833,1075072}}	
284	37	愣头青	411	LOOT	TARGET.DOODAD	7707	水缸	1	{{74556,57757,1075136}}	
285	38	小苗苗	6	TRIGGER	TARGET.NPC	65896	毛丝鼠	1	{{40550, 27393, 1049984}}	
285	38	小苗苗	6	LOOT	TARGET.DOODAD	7763	苜蓿草	1	{{41015,23468,1049728}}	
319	39	小羽	6	LOOT	TARGET.NPC	69040	苏拂衣	1	{{62780,37639,1049152}}	
319	39	小羽	6	TRIGGER	TARGET.DOODAD	6914	埋东西的痕迹	1	{{62713,38189,1048896}}	
320	40	瓜瓜	5	TRIGGER	TARGET.NPC	68983	闰水	1	{{17604,9165,1053120}}	
321	41	懵懵	5	TRIGGER	TARGET.NPC	68984	查小娘	1	{{6330,18100,1053376}}	
58	42	小果	5	TRIGGER	TARGET.DOODAD	4582	酒葫芦		{{56547, 29403, 1120530},{46495, 32074, 1122300},{43446, 12157, 1097318},{18451, 8628, 1059532},{14614, 13536, 1049042},{19808, 11270, 1048897},{46623, 20329, 1104960}}	
65	43	小花	8	TRIGGER	TARGET.DOODAD	4706	小土堆		{{35894, 33690, 1065856},{50271, 21851, 1075840},{47892, 20442, 1071936},{40056, 21061, 1068352},{41648, 24328, 1068288},{43410, 27630, 1066304},{42175, 30551, 1064704},{38482, 31862, 1065024}}	
78	44	小诺	100	TRIGGER	TARGET.DOODAD	4763	破旧的纸卷	1	{{32669, 103174, 1086272},{54365, 108450, 1108288},{87696, 94020, 1109248},{9805, 83814, 1079808},{45308, 55700, 1109120},{41458, 32924, 1108288},{97537, 51984, 1115456},{73459, 20938, 1102208},{49604, 14220, 1102400},{91529, 75426, 1113152},}	
82	45	果果	194	TRIGGER	TARGET.DOODAD	5055	坚果	1	{{101721, 32599, 1155072},{117753, 57272, 1160128},{97496, 85948, 1140032},{59611, 96426, 1088448},{30860, 32351, 1130624},{120414, 58690, 1160192}}	
83	46	冰蓝花客	30	TRIGGER	TARGET.DOODAD	5053	冰凌雪莲		{{46360, 26876, 1071168},{37412, 27050, 1063424},{45649, 26523, 1066240},{35017, 29281, 1061632},{43928, 26847, 1065601},{40488, 18722, 1080320},{51997, 19206, 1078528}}	
98	47	红羽大将军	101	TRIGGER	TARGET.DOODAD	5155	泥沙堆		{{16734, 75852, 1047168},{27023, 60884, 1048832},{33020, 35331, 1051008},{38650, 65942, 1050432},{94992, 70331, 1050496},{61190, 100453, 1049856},{87278, 96152, 1050880}}	
111	48	商周客	103	TRIGGER	TARGET.DOODAD	5316	小土堆		{{25065, 89647, 1100352},{27100, 86955, 1100096},{23048, 48363, 1194048},{99326, 66725, 1163648},{110628, 96671, 1183744},{71672, 24100, 1188352},{90357, 16312, 1226240},{18847, 81609, 1110912}}	
337	49	莫贪杯	49	TRIGGER	TARGET.NPC	99195	王厨娘	1	{{49977,16734,1134016}}	
338	50	露园事	325	TRIGGER	TARGET.NPC	70597	林云飞	1	{{66183,82929,1154304}}	
338	50	露园事	325	LOOT	TARGET.DOODAD	8255	武器箱	1	{{66184,83084,1154240}}	
339	51	瀛洲梦	172	LOOT	TARGET.NPC	25876	孟乌	1	{{22636,53321,1052544}}	
339	51	瀛洲梦	333	TRIGGER	TARGET.NPC		落单少侠			
359	52	话玄虚	334	TRIGGER	TARGET.NPC	102012	算命先生	1	{{21903,41046,1057856}}	
360	53	白月皎	473	TRIGGER	TARGET.DOODAD	8600	兔子窝	1	{{93604,57294,1110528},{93237,56560,1109568},{91235,57825,1108928}}	
361	54	尘网中	9	TRIGGER	TARGET.NPC	102833	红师农	1	{{53449,14247,1066816}}	
373	55	丹青记	462	TRIGGER	TARGET.DOODAD	8961	白六娘的樱桃树		{{31649,52906,2407488}}	
374	56	一枝栖	486	TRIGGER	TARGET.NPC	99555	泥鳅		{{16260,21089,1059008}}	
375	57	捉贼记	455	TRIGGER	TARGET.NPC	104935	曾莲		{{7732,5228,1069952}}	
383	58	羁鸟念林	526	TRIGGER	TARGET.NPC	106832	刘山夕		{{17907,67500,1935552},{17630,59411,1923200},{31274,70706,1953664}}	
383	58	羁鸟念林	526	LOOT			小碗		{{22604,73639,1934272}}	
384	59	蒙童立志	194	TRIGGER	TARGET.NPC	107295	庞以松		{{23355,74281,1133696}}	
385	60	星河曙天	215	LOOT	TARGET.NPC	107331	刘安		{{119324,118091,1156672}}	
385	60	星河曙天	215	TRIGGER	TARGET.NPC	107332	曙曙		{{89002,113081,1157440},{85312,111817,1156928}}	
385	60	星河曙天	215	LOOT	TARGET.NPC	107357	钱滚滚		{{79259,111127,1158144}}	
414	61	鸠雀记	13	LOOT	TARGET.DOODAD	9637	落叶堆		{{63852, 61132, 1050432}}	
414	61	鸠雀记	13	TRIGGER	TARGET.NPC	109278	小花		{{60769, 61011, 1052480}}	
413	62	幽海牧	217	TRIGGER	TARGET.NPC	109423	沙木沙克		{{104686,13203,1079232}}	
412	63	枉叹恨	156	TRIGGER	TARGET.NPC	109467	错错		{{48084,42433,1063424}}	
